08-10-2026 22:13:16 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.281C/64.281C cpu@69C/69C soc2@61.062C/61.062C soc0@62.406C/62.406C cv1@63.468C/63.468C gpu@68.812C/68.937C tj@69C/69C soc1@60.812C/60.812C cv2@58.593C/58.593C VDD_IN 31399mW/18354mW/31761mW VDD_CPU_GPU_CV 19434mW/10247mW/20038mW VDD_SOC 4855mW/3375mW/4855mW
08-10-2026 22:13:16 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.562C/64.562C cpu@69.25C/69.25C soc2@61.312C/61.312C soc0@62.656C/62.656C cv1@63.593C/63.593C gpu@68.906C/68.937C tj@69.25C/69.25C soc1@61.031C/61.031C cv2@58.875C/58.875C VDD_IN 31319mW/19434mW/31761mW VDD_CPU_GPU_CV 19196mW/10993mW/20038mW VDD_SOC 5056mW/3515mW/5056mW
08-10-2026 22:13:17 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.843C/64.843C cpu@69.343C/69.343C soc2@61.531C/61.531C soc0@62.906C/62.906C cv1@63.937C/63.937C gpu@69.062C/69.062C tj@69.343C/69.343C soc1@61.156C/61.156C cv2@59.125C/59.125C VDD_IN 31229mW/20342mW/31761mW VDD_CPU_GPU_CV 19147mW/11620mW/20038mW VDD_SOC 5096mW/3637mW/5096mW
08-10-2026 22:13:17 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.968C/64.968C cpu@69.75C/69.75C soc2@61.812C/61.812C soc0@63.031C/63.031C cv1@64.031C/64.031C gpu@69.25C/69.25C tj@69.562C/69.562C soc1@61.312C/61.312C cv2@59.281C/59.281C VDD_IN 31188mW/21116mW/31761mW VDD_CPU_GPU_CV 19028mW/12149mW/20038mW VDD_SOC 5136mW/3744mW/5136mW
08-10-2026 22:13:18 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.125C/65.125C cpu@69.937C/69.937C soc2@61.906C/61.906C soc0@63.187C/63.187C cv1@64.218C/64.218C gpu@69.343C/69.343C tj@69.937C/69.937C soc1@61.5C/61.5C cv2@59.406C/59.406C VDD_IN 31188mW/21788mW/31761mW VDD_CPU_GPU_CV 18948mW/12602mW/20038mW VDD_SOC 5136mW/3836mW/5136mW
08-10-2026 22:13:18 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.593C/65.593C cpu@70.156C/70.156C soc2@62.093C/62.093C soc0@63.343C/63.343C cv1@64.437C/64.437C gpu@69.656C/69.656C tj@70.156C/70.156C soc1@61.656C/61.656C cv2@59.656C/59.656C VDD_IN 31229mW/22378mW/31761mW VDD_CPU_GPU_CV 18997mW/13002mW/20038mW VDD_SOC 5136mW/3918mW/5136mW
08-10-2026 22:13:19 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.531C/65.593C cpu@70.125C/70.156C soc2@62.375C/62.375C soc0@63.5C/63.5C cv1@64.5C/64.5C gpu@69.718C/69.718C tj@70.125C/70.156C soc1@61.656C/61.656C cv2@59.843C/59.843C VDD_IN 31229mW/22899mW/31761mW VDD_CPU_GPU_CV 18997mW/13355mW/20038mW VDD_SOC 5136mW/3989mW/5136mW
08-10-2026 22:13:19 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.625C/65.625C cpu@70.468C/70.468C soc2@62.468C/62.468C soc0@63.718C/63.718C cv1@64.625C/64.625C gpu@69.937C/69.937C tj@70.468C/70.468C soc1@61.906C/61.906C cv2@59.968C/59.968C VDD_IN 31309mW/23366mW/31761mW VDD_CPU_GPU_CV 18997mW/13668mW/20038mW VDD_SOC 5136mW/4053mW/5136mW
08-10-2026 22:13:20 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.875C/65.875C cpu@70.406C/70.468C soc2@62.656C/62.656C soc0@63.812C/63.812C cv1@64.781C/64.781C gpu@70C/70C tj@70.5C/70.5C soc1@62.031C/62.031C cv2@60.156C/60.156C VDD_IN 31229mW/23780mW/31761mW VDD_CPU_GPU_CV 18918mW/13944mW/20038mW VDD_SOC 5136mW/4110mW/5136mW
08-10-2026 22:13:20 RAM 7632/15599MB (lfb 28x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@65.937C/65.937C cpu@70.593C/70.593C soc2@62.812C/62.812C soc0@64C/64C cv1@64.906C/64.906C gpu@70.343C/70.343C tj@70.593C/70.593C soc1@62.125C/62.125C cv2@60.312C/60.312C VDD_IN 31269mW/24154mW/31761mW VDD_CPU_GPU_CV 18997mW/14197mW/20038mW VDD_SOC 5136mW/4161mW/5136mW
