08-11-2026 00:06:04 RAM 12200/15599MB (lfb 2x1MB) CPU [0%@1190,0%@1190,73%@1190,0%@1190,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@51.562C/51.562C cpu@56.218C/56.218C soc2@49.843C/49.843C soc0@51.875C/51.875C cv1@51.687C/51.687C gpu@61.937C/61.937C tj@61.937C/61.937C soc1@50.25C/50.25C cv2@48.437C/48.437C VDD_IN 30030mW/14327mW/30030mW VDD_CPU_GPU_CV 18311mW/6264mW/18311mW VDD_SOC 4943mW/3473mW/4943mW
08-11-2026 00:06:05 RAM 12248/15599MB (lfb 3x1MB) CPU [0%@883,0%@883,30%@883,0%@883,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@52.031C/52.031C cpu@56.343C/56.343C soc2@50.125C/50.125C soc0@52.062C/52.062C cv1@51.968C/51.968C gpu@61C/61.937C tj@61C/61.937C soc1@50.343C/50.343C cv2@48.75C/48.75C VDD_IN 29064mW/15555mW/30030mW VDD_CPU_GPU_CV 17224mW/7177mW/18311mW VDD_SOC 5064mW/3606mW/5064mW
08-11-2026 00:06:05 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,1%@1984,100%@1984] GR3D_FREQ 99% cv0@52.25C/52.25C cpu@56.656C/56.656C soc2@50.343C/50.343C soc0@52.312C/52.312C cv1@52.093C/52.093C gpu@60.156C/61.937C tj@60.156C/61.937C soc1@50.5C/50.5C cv2@48.875C/48.875C VDD_IN 28420mW/16545mW/30030mW VDD_CPU_GPU_CV 16054mW/7860mW/18311mW VDD_SOC 5305mW/3737mW/5305mW
08-11-2026 00:06:06 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@52.437C/52.437C cpu@56.906C/56.906C soc2@50.593C/50.593C soc0@52.593C/52.593C cv1@52.437C/52.437C gpu@60.437C/61.937C tj@60.437C/61.937C soc1@50.937C/50.937C cv2@49.156C/49.156C VDD_IN 28340mW/17387mW/30030mW VDD_CPU_GPU_CV 15894mW/8434mW/18311mW VDD_SOC 5345mW/3852mW/5345mW
08-11-2026 00:06:06 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@52.562C/52.562C cpu@57.468C/57.468C soc2@50.812C/50.812C soc0@52.906C/52.906C cv1@52.75C/52.75C gpu@60.875C/61.937C tj@60.875C/61.937C soc1@50.968C/50.968C cv2@49.281C/49.281C VDD_IN 28219mW/18109mW/30030mW VDD_CPU_GPU_CV 15654mW/8915mW/18311mW VDD_SOC 5394mW/3954mW/5394mW
08-11-2026 00:06:07 RAM 12247/15599MB (lfb 3x1MB) CPU [1%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@52.843C/52.843C cpu@57.375C/57.468C soc2@51.031C/51.031C soc0@53C/53C cv1@52.843C/52.843C gpu@61C/61.937C tj@61C/61.937C soc1@51.093C/51.093C cv2@49.562C/49.562C VDD_IN 28340mW/18749mW/30030mW VDD_CPU_GPU_CV 15774mW/9344mW/18311mW VDD_SOC 5385mW/4044mW/5394mW
08-11-2026 00:06:07 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,1%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@53C/53C cpu@57.656C/57.656C soc2@51.125C/51.125C soc0@53.093C/53.093C cv1@53C/53C gpu@61.437C/61.937C tj@61.437C/61.937C soc1@51.25C/51.25C cv2@49.687C/49.687C VDD_IN 28259mW/19308mW/30030mW VDD_CPU_GPU_CV 15734mW/9720mW/18311mW VDD_SOC 5434mW/4126mW/5434mW
08-11-2026 00:06:08 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@53.156C/53.156C cpu@57.687C/57.687C soc2@51.25C/51.25C soc0@53.25C/53.25C cv1@53.187C/53.187C gpu@61.375C/61.937C tj@61.375C/61.937C soc1@51.531C/51.531C cv2@49.781C/49.781C VDD_IN 28138mW/19799mW/30030mW VDD_CPU_GPU_CV 15614mW/10047mW/18311mW VDD_SOC 5434mW/4198mW/5434mW
08-11-2026 00:06:08 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@53.281C/53.281C cpu@58.187C/58.187C soc2@51.437C/51.437C soc0@53.687C/53.687C cv1@53.437C/53.437C gpu@61.468C/61.937C tj@61.468C/61.937C soc1@51.656C/51.656C cv2@49.875C/49.875C VDD_IN 28299mW/20246mW/30030mW VDD_CPU_GPU_CV 15774mW/10349mW/18311mW VDD_SOC 5385mW/4261mW/5434mW
08-11-2026 00:06:09 RAM 12247/15599MB (lfb 3x1MB) CPU [0%@1984,0%@1984,100%@1984,0%@1984,0%@1984,0%@1984,0%@1984,100%@1984] GR3D_FREQ 99% cv0@53.562C/53.562C cpu@58.125C/58.187C soc2@51.656C/51.656C soc0@53.656C/53.687C cv1@53.562C/53.562C gpu@61.687C/61.937C tj@61.687C/61.937C soc1@51.781C/51.781C cv2@50.187C/50.187C VDD_IN 28259mW/20647mW/30030mW VDD_CPU_GPU_CV 15694mW/10616mW/18311mW VDD_SOC 5425mW/4319mW/5434mW
