08-10-2026 22:06:48 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.218C/62.218C cpu@66.843C/66.906C soc2@58.906C/58.906C soc0@60.218C/60.218C cv1@61.531C/61.531C gpu@66.281C/66.281C tj@66.843C/66.906C soc1@58.906C/58.906C cv2@56.625C/56.625C VDD_IN 27659mW/17507mW/27659mW VDD_CPU_GPU_CV 17731mW/10292mW/17731mW VDD_SOC 4065mW/3049mW/4065mW
08-10-2026 22:06:49 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.312C/62.312C cpu@67.281C/67.281C soc2@59.312C/59.312C soc0@60.625C/60.625C cv1@61.718C/61.718C gpu@66.843C/66.843C tj@67.281C/67.281C soc1@59.093C/59.093C cv2@56.875C/56.875C VDD_IN 28465mW/18420mW/28465mW VDD_CPU_GPU_CV 18301mW/10960mW/18301mW VDD_SOC 4106mW/3138mW/4106mW
08-10-2026 22:06:49 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.687C/62.687C cpu@67.562C/67.562C soc2@59.531C/59.531C soc0@60.843C/60.843C cv1@61.906C/61.906C gpu@67.125C/67.125C tj@67.562C/67.562C soc1@59.343C/59.343C cv2@57.031C/57.031C VDD_IN 28707mW/19211mW/28707mW VDD_CPU_GPU_CV 18580mW/11546mW/18580mW VDD_SOC 4146mW/3215mW/4146mW
08-10-2026 22:06:50 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.906C/62.906C cpu@67.593C/67.593C soc2@59.843C/59.843C soc0@61C/61C cv1@62.062C/62.062C gpu@67.156C/67.156C tj@67.593C/67.593C soc1@59.437C/59.437C cv2@57.281C/57.281C VDD_IN 28783mW/19895mW/28783mW VDD_CPU_GPU_CV 18819mW/12065mW/18819mW VDD_SOC 4106mW/3279mW/4146mW
08-10-2026 22:06:50 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.156C/63.156C cpu@67.843C/67.843C soc2@59.937C/59.937C soc0@61.125C/61.125C cv1@62.187C/62.187C gpu@67.593C/67.593C tj@67.843C/67.843C soc1@59.562C/59.562C cv2@57.562C/57.562C VDD_IN 28828mW/20491mW/28828mW VDD_CPU_GPU_CV 18819mW/12515mW/18819mW VDD_SOC 4106mW/3334mW/4146mW
08-10-2026 22:06:51 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.343C/63.343C cpu@68.125C/68.125C soc2@60.187C/60.187C soc0@61.406C/61.406C cv1@62.468C/62.468C gpu@67.562C/67.593C tj@68.125C/68.125C soc1@59.875C/59.875C cv2@57.75C/57.75C VDD_IN 28748mW/21007mW/28828mW VDD_CPU_GPU_CV 18660mW/12900mW/18819mW VDD_SOC 4106mW/3382mW/4146mW
08-10-2026 22:06:51 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.406C/63.406C cpu@68.156C/68.156C soc2@60.343C/60.343C soc0@61.562C/61.562C cv1@62.687C/62.687C gpu@67.968C/67.968C tj@68.25C/68.25C soc1@59.968C/59.968C cv2@57.906C/57.906C VDD_IN 28828mW/21467mW/28828mW VDD_CPU_GPU_CV 18779mW/13245mW/18819mW VDD_SOC 4106mW/3425mW/4146mW
08-10-2026 22:06:52 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.718C/63.718C cpu@68.312C/68.312C soc2@60.468C/60.468C soc0@61.718C/61.718C cv1@62.75C/62.75C gpu@68.093C/68.093C tj@68.312C/68.312C soc1@60.156C/60.156C cv2@58.125C/58.125C VDD_IN 28748mW/21871mW/28828mW VDD_CPU_GPU_CV 18660mW/13546mW/18819mW VDD_SOC 4106mW/3463mW/4146mW
08-10-2026 22:06:52 RAM 10674/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.906C/63.906C cpu@68.406C/68.406C soc2@60.562C/60.562C soc0@61.968C/61.968C cv1@62.875C/62.875C gpu@68.281C/68.281C tj@68.406C/68.406C soc1@60.437C/60.437C cv2@58.312C/58.312C VDD_IN 28788mW/22235mW/28828mW VDD_CPU_GPU_CV 18620mW/13813mW/18819mW VDD_SOC 4099mW/3496mW/4146mW
08-10-2026 22:06:53 RAM 10682/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.906C/63.906C cpu@68.625C/68.625C soc2@60.781C/60.781C soc0@62.062C/62.062C cv1@63.031C/63.031C gpu@68.281C/68.281C tj@68.625C/68.625C soc1@60.531C/60.531C cv2@58.343C/58.343C VDD_IN 28748mW/22561mW/28828mW VDD_CPU_GPU_CV 18540mW/14050mW/18819mW VDD_SOC 4099mW/3526mW/4146mW
