t_s,phase,nvme_mc,nvme_c,tj_mc,tj_c,cpu_c,gpu_c,fan_rpm,fan_pwm,cpu_mhz,vdd_in_mw,sect_read,sect_written,read_mbs,write_mbs,inflight,util_pct
2188,A-slc-fill,39850,39,59437,59,59,58,2164,78,1267,5480,2608433963,624249506,0.00,505.02,0,93.6
2189,A-slc-fill,39850,39,59531,59,59,57,2164,78,729,5520,2608433963,625390506,0.00,584.19,1,97.2
2190,A-slc-fill,39850,39,59468,59,59,57,2166,78,1497,5357,2608433963,625960602,0.00,291.89,0,100.0
2191,A-slc-fill,39850,39,59156,59,59,57,2164,78,1497,5480,2608433963,626258346,0.00,152.44,1,100.0
2192,A-slc-fill,39850,39,59437,59,59,57,2167,78,1267,5480,2608433963,626539434,0.00,143.92,1,100.0
2193,A-slc-fill,39850,39,59187,59,59,57,2169,78,1344,5439,2608433963,626820778,0.00,144.05,1,100.0
2194,A-slc-fill,39850,39,59156,59,59,57,2162,78,1267,5439,2608433963,627114162,0.00,150.21,1,100.0
2195,A-slc-fill,39850,39,59187,59,59,57,2164,78,1344,5439,2608433963,627407474,0.00,150.18,1,100.0
2196,A-slc-fill,39850,39,59125,59,59,57,2165,78,729,5398,2608433963,627700850,0.00,150.21,1,100.0
2197,A-slc-fill,39850,39,59500,59,59,57,2165,78,1344,5357,2608433963,628174962,0.00,242.75,1,98.0
2198,A-slc-fill,39850,39,59281,59,59,57,2167,78,1267,5520,2608433963,629300338,0.00,576.19,1,89.2
2199,A-slc-fill,39850,39,59187,59,59,57,2162,78,729,5439,2608433963,630255962,0.00,489.28,1,97.2
2201,A-slc-fill,39850,39,59062,59,59,57,2162,78,1344,5439,2608433963,630744842,0.00,250.31,1,100.0
2202,A-slc-fill,39850,39,59156,59,59,57,2164,78,1267,5439,2608433963,631038218,0.00,150.21,1,100.0
2203,A-slc-fill,39850,39,59093,59,59,57,2164,78,1344,5439,2608433963,631331594,0.00,150.21,1,100.0
2204,A-slc-fill,39850,39,59125,59,59,57,2165,78,1497,5439,2608433963,631612938,0.00,144.05,1,100.0
2205,A-slc-fill,39850,39,59156,59,59,57,2167,78,960,5439,2608433963,631906266,0.00,150.18,1,100.0
2206,A-slc-fill,39850,39,59156,59,59,57,2164,78,1267,5398,2608433963,632199642,0.00,150.21,1,100.0
2207,A-slc-fill,39850,39,59093,59,59,57,2164,78,1344,5316,2608433963,632505050,0.00,156.37,1,100.0
2208,A-slc-fill,39850,39,59156,59,59,57,2164,78,729,5561,2608433963,633297882,0.00,405.93,1,97.6
2209,A-slc-fill,39850,39,59156,59,59,57,2164,78,1036,5643,2608433963,634511338,0.00,621.29,1,96.0
2210,A-slc-fill,39850,39,59156,59,59,57,2164,78,1344,5439,2608433963,635231714,0.00,368.83,1,100.0
2211,A-slc-fill,39850,39,59281,59,59,57,2167,78,1497,5480,2608433963,635598306,0.00,187.70,1,100.0
2212,A-slc-fill,39850,39,59250,59,59,57,2162,78,1344,5398,2608433963,635891682,0.00,150.21,1,100.0
2214,A-slc-fill,39850,39,59250,59,59,57,2164,78,1267,5398,2608433963,636185058,0.00,150.21,1,100.0
2215,A-slc-fill,39850,39,59000,59,59,57,2167,78,1267,5439,2608433963,636478370,0.00,150.18,1,100.0
2216,A-slc-fill,39850,39,59000,59,59,57,2165,78,729,5398,2608433963,636771746,0.00,150.21,1,100.0
2217,A-slc-fill,39850,39,59031,59,59,57,2165,78,1497,5398,2608433963,637065122,0.00,150.21,1,100.0
2218,A-slc-fill,39850,39,59093,59,59,57,2167,78,1497,5234,2608433963,637395362,0.00,169.08,0,100.0
2219,A-slc-fill,39850,39,59156,59,59,57,2167,78,1267,5602,2608433963,638605730,0.00,619.71,1,96.4
2220,A-slc-fill,39850,39,59125,59,59,57,2165,78,1344,5439,2608433963,639620442,0.00,519.53,1,97.6
2221,A-slc-fill,39850,39,59687,59,59,57,2163,78,1420,6093,2608433963,640133738,0.00,262.81,1,100.0
2222,A-slc-fill,39850,39,59125,59,59,57,2164,78,1344,5848,2608433963,640427114,0.00,150.21,1,100.0
2223,A-slc-fill,39850,39,59375,59,59,57,2164,78,1267,5439,2608433963,640708458,0.00,144.05,1,100.0
2224,A-slc-fill,39850,39,59250,59,59,57,2164,78,1036,5398,2608433963,641001842,0.00,150.21,1,100.0
2226,A-slc-fill,39850,39,59062,59,59,57,2167,78,960,5439,2608433963,641343866,0.00,175.12,151,100.0
2227,A-slc-fill,39850,39,59062,59,59,57,2164,78,1497,5480,2608433963,641637370,0.00,150.27,1,100.0
2228,A-slc-fill,39850,39,58968,58,59,57,2164,78,1267,5316,2608433963,641930842,0.00,150.26,1,100.0
2229,A-slc-fill,39850,39,59218,59,59,57,2162,78,729,5520,2608433963,642752602,0.00,420.74,1,100.0
2230,A-slc-fill,39850,39,59187,59,59,57,2167,78,1344,5602,2608433963,643952482,0.00,614.34,0,94.8
2231,A-slc-fill,39850,39,59031,59,59,57,2167,78,1344,5398,2608433963,644620714,0.00,342.13,1,99.2
2232,A-slc-fill,39850,39,59031,59,59,57,2165,78,1267,5439,2608433963,644962986,0.00,175.24,1,100.0
2233,A-slc-fill,39850,39,58968,58,59,57,2165,78,1344,5439,2608433963,645256362,0.00,150.21,1,100.0
2234,A-slc-fill,39850,39,59000,59,59,57,2165,78,1267,5398,2608433963,645537450,0.00,143.92,1,100.0
2235,A-slc-fill,39850,39,59156,59,59,57,2162,78,1267,5398,2608433963,645818266,0.00,143.78,1,100.0
2236,A-slc-fill,39850,39,59562,59,59,57,2164,78,1267,5970,2608433963,646111898,0.00,150.34,1,100.0
2237,A-slc-fill,39850,39,59687,59,59,57,2165,78,1267,6093,2608433963,646405274,0.00,150.21,1,100.0
2238,A-slc-fill,39850,39,60000,60,60,57,2164,78,1344,5929,2608433963,646735258,0.00,168.95,1,100.0
2240,A-slc-fill,39850,39,59875,59,59,57,2162,78,1344,6175,2608433963,647904874,0.00,598.84,1,94.8
2241,A-slc-fill,39850,39,59718,59,59,57,2164,78,1344,6093,2608433963,648972658,0.00,546.71,1,96.8
2242,A-slc-fill,39850,39,59906,59,59,57,2162,78,1267,6052,2608433963,649510770,0.00,275.51,1,100.0
2243,A-slc-fill,39850,39,59656,59,59,57,2163,78,1267,6093,2608433963,649804146,0.00,150.21,1,100.0
2244,A-slc-fill,39850,39,59937,59,59,57,2162,78,1497,6093,2608433963,650097522,0.00,150.21,1,100.0
2245,A-slc-fill,39850,39,60062,60,59,57,2164,78,1344,6134,2608433963,650390610,0.00,150.06,1,100.0
2246,A-slc-fill,39850,39,59750,59,59,57,2163,78,1344,6093,2608433963,650671954,0.00,144.05,1,100.0
2247,A-slc-fill,39850,39,59718,59,59,58,2165,78,1344,6093,2608433963,650965330,0.00,150.21,1,100.0
2248,A-slc-fill,39850,39,59750,59,59,57,2162,78,1344,5970,2608433963,651258714,0.00,150.21,1,100.0
2249,A-slc-fill,39850,39,59968,59,59,57,2164,78,1497,6093,2608433963,651957850,0.00,357.96,1,100.0
2250,A-slc-fill,39850,39,60062,60,60,57,2164,78,1344,6216,2608433963,653182250,0.00,626.89,0,95.2
2251,A-slc-fill,39850,39,59812,59,60,57,2165,78,1344,6011,2608433963,653899562,0.00,367.26,1,96.4
2252,A-slc-fill,39850,39,60031,60,60,57,2164,78,1344,6052,2608433963,654290986,0.00,200.41,1,100.0
2253,A-slc-fill,39850,39,59875,59,59,57,2162,78,1497,6052,2608433963,654584378,0.00,150.22,1,100.0
2255,A-slc-fill,39850,39,59718,59,59,57,2162,78,1497,6052,2608433963,654877474,0.00,150.07,1,100.0
2256,A-slc-fill,39850,39,59812,59,59,57,2164,78,1497,6052,2608433963,655158834,0.00,144.06,1,100.0
2257,A-slc-fill,39850,39,59781,59,59,57,2164,78,1267,6093,2608433963,655439922,0.00,143.92,1,100.0
2258,A-slc-fill,39850,39,59937,59,59,57,2162,78,1420,6052,2608433963,655733298,0.00,150.21,1,100.0
2259,A-slc-fill,39850,39,59843,59,59,58,2164,78,1497,5929,2608433963,656051250,0.00,162.79,1,100.0
2260,A-slc-fill,39850,39,59875,59,59,57,2165,78,1497,6297,2608433963,657071618,0.00,522.43,1,96.0
2261,A-slc-fill,39850,39,60000,60,60,57,2165,78,1497,6297,2608433963,658239802,0.00,598.11,1,96.8
2262,A-slc-fill,39850,39,59843,59,59,57,2167,78,1497,6052,2608433963,658826554,0.00,300.42,1,100.0
2263,A-slc-fill,39850,39,59781,59,59,57,2164,78,1497,6093,2608433963,659132218,0.00,156.50,1,100.0
2264,A-slc-fill,39850,39,59968,59,59,58,2165,78,1497,6093,2608433963,659437882,0.00,156.50,1,100.0
2265,A-slc-fill,39850,39,59531,59,59,57,2164,78,1497,6093,2608433963,659731130,0.00,150.14,1,100.0
2266,A-slc-fill,39850,39,59531,59,59,57,2165,78,1497,6093,2608433963,660024514,0.00,150.21,1,100.0
2267,A-slc-fill,39850,39,59656,59,59,57,2165,78,1497,6093,2608433963,660317890,0.00,150.21,1,100.0
2268,A-slc-fill,39850,39,59468,59,59,57,2165,78,1497,6011,2608433963,660611266,0.00,150.21,1,100.0
2269,A-slc-fill,39850,39,59593,59,59,58,2164,78,1497,6052,2608433963,661246882,0.00,325.44,0,100.0
2271,A-slc-fill,39850,39,60000,60,60,57,2164,78,1497,6216,2608433963,662195114,0.00,485.49,1,95.2
2272,A-slc-fill,39850,39,59781,59,59,57,2164,78,1420,5929,2608433963,662714282,0.00,265.81,1,98.8
2273,A-slc-fill,39850,39,60062,60,60,57,2164,78,1497,6584,2608433963,663191210,0.00,244.19,1,100.0
2274,A-slc-fill,39850,39,60125,60,60,57,2162,78,1497,6696,2608433963,663484586,0.00,150.21,1,100.0
2275,A-slc-fill,39850,39,60125,60,60,57,2162,78,1497,6492,2608433963,663802050,0.00,162.54,1,100.0
2276,A-slc-fill,39850,39,60125,60,60,58,2163,78,1497,6614,2608433963,664095434,0.00,150.21,1,100.0
2277,A-slc-fill,39850,39,60312,60,60,58,2163,78,1497,6696,2608433963,664388810,0.00,150.21,1,100.0
2278,A-slc-fill,39850,39,60218,60,60,58,2163,78,1497,6737,2608433963,664694474,0.00,156.50,90,100.0
2279,A-slc-fill,39850,39,60343,60,60,58,2164,78,1497,6492,2608433963,665024658,0.00,169.05,1,100.0
2280,A-slc-fill,39850,39,60250,60,60,58,2160,78,1497,6696,2608433963,666046946,0.00,523.41,1,98.8
2281,A-slc-fill,39850,39,60218,60,60,58,2160,78,1497,6778,2608433963,667284434,0.00,633.59,1,93.6
2282,A-slc-fill,39850,39,60281,60,60,58,2164,78,1497,6614,2608433963,668093522,0.00,414.25,10,100.0
2283,A-slc-fill,39850,39,60218,60,60,58,2164,78,1497,6655,2608433963,668447898,0.00,181.44,1,100.0
2284,A-slc-fill,39850,39,60218,60,60,58,2160,78,1497,6737,2608433963,668741178,0.00,150.16,1,99.6
2286,A-slc-fill,39850,39,60343,60,60,58,2164,78,1497,6778,2608433963,669034554,0.00,150.21,65,100.0
2287,A-slc-fill,39850,39,60312,60,60,58,2164,78,1497,6614,2608433963,669340170,0.00,156.48,1,100.0
2288,A-slc-fill,39850,39,60156,60,60,58,2163,78,1497,6696,2608433963,669633546,0.00,150.21,1,100.0
2289,A-slc-fill,39850,39,60375,60,60,58,2165,78,1497,6737,2608433963,669926922,0.00,150.21,1,100.0
2290,A-slc-fill,39850,39,60468,60,60,58,2164,78,1497,6696,2608433963,670507162,0.00,297.08,1,94.4
2291,A-slc-fill,39850,39,60593,60,60,58,2167,78,1497,6737,2608433963,671733402,0.00,627.83,0,94.4
2292,A-slc-fill,39850,39,59937,59,59,58,2164,78,1497,6379,2608433963,672567970,0.00,427.30,1,98.4
2293,A-slc-fill,39850,39,59843,59,59,58,2165,78,1497,6297,2608433963,673032610,0.00,237.90,1,100.0
2294,A-slc-fill,39850,39,59843,59,59,58,2165,78,1497,6052,2608433963,673350522,0.00,162.77,1,99.6
2295,A-slc-fill,39850,39,59812,59,59,58,2164,78,1497,6216,2608433963,673643634,0.00,150.07,1,100.0
2296,A-slc-fill,39850,39,59968,59,59,58,2164,78,1497,6216,2608433963,673937010,0.00,150.21,1,100.0
2297,A-slc-fill,39850,39,59937,59,59,58,2164,78,1497,5929,2608433963,674266954,0.00,168.93,1,100.0
2298,A-slc-fill,39850,39,59906,59,59,58,2164,78,1497,6093,2608433963,674560330,0.00,150.21,1,100.0
2300,A-slc-fill,39850,39,59687,59,59,58,2164,78,1497,6052,2608433963,674890394,0.00,168.99,1,98.8
2301,A-slc-fill,39850,39,60187,60,59,58,2164,78,1497,6420,2608433963,676051394,0.00,594.43,0,94.8
2302,A-slc-fill,39850,39,60125,60,59,58,2163,78,1497,6175,2608433963,677120786,0.00,547.53,1,96.8
2303,A-slc-fill,39850,39,59968,59,60,58,2165,78,1497,6175,2608433963,677629458,0.00,260.44,1,100.0
2304,A-slc-fill,39850,39,60312,60,60,58,2164,78,1497,6297,2608433963,677922834,0.00,150.21,1,100.0
2305,A-slc-fill,39850,39,59968,59,60,58,2164,78,1497,6052,2608433963,678228050,0.00,156.27,1,99.6
2306,A-slc-fill,39850,39,60031,60,59,58,2165,78,1497,6134,2608433963,678509394,0.00,144.05,1,100.0
2307,A-slc-fill,39850,39,59906,59,59,58,2165,78,1497,6216,2608433963,678802778,0.00,150.21,1,100.0
2308,A-slc-fill,39850,39,59812,59,59,58,2162,78,1497,5848,2608433963,679145090,0.00,175.26,151,100.0
2309,A-slc-fill,39850,39,60031,60,59,58,2162,78,1497,6011,2608433963,679450570,0.00,156.41,1,100.0
2310,A-slc-fill,39850,39,60250,60,60,58,2162,78,1497,6216,2608433963,680199914,0.00,383.66,1,95.2
2311,A-slc-fill,39850,39,60531,60,60,58,2162,78,1497,6379,2608433963,681405690,0.00,617.36,253,97.2
2312,A-slc-fill,39850,39,59968,59,59,58,2165,78,1497,6093,2608433963,682153402,0.00,382.83,0,96.0
2314,A-slc-fill,39850,39,60375,60,60,58,2162,78,1344,6175,2608433963,682519482,0.00,187.43,1,100.0
2315,A-slc-fill,39850,39,60031,60,60,58,2162,78,1420,5807,2608433963,682861738,0.00,175.24,60,100.0
2316,A-slc-fill,39850,39,60187,60,60,58,2159,78,1344,6134,2608433963,683154978,0.00,150.14,1,100.0
2317,A-slc-fill,39850,39,60187,60,60,58,2162,78,1344,6257,2608433963,683448362,0.00,150.21,1,100.0
2318,A-slc-fill,39850,39,60125,60,60,58,2164,78,1344,6093,2608433963,683766258,0.00,162.76,1,100.0
2319,A-slc-fill,39850,39,60031,60,60,58,2164,78,1497,6175,2608433963,684047346,0.00,143.92,1,100.0
2320,A-slc-fill,39850,39,60125,60,60,58,2164,78,1497,6093,2608433963,684660194,0.00,313.78,1,100.0
2321,A-slc-fill,39850,39,60125,60,60,58,2164,78,1420,6216,2608433963,685824706,0.00,596.23,1,96.4
2322,A-slc-fill,39850,39,59937,59,59,58,2165,78,1267,5439,2608433963,686691786,0.00,443.94,0,96.4
2323,A-slc-fill,39850,39,59656,59,59,58,2165,78,1267,5398,2608433963,687140554,0.00,229.77,1,100.0
2324,A-slc-fill,39850,39,59812,59,59,58,2165,78,1344,5439,2608433963,687433938,0.00,150.21,1,100.0
2326,A-slc-fill,39850,39,59656,59,59,58,2165,78,1267,5439,2608433963,687727314,0.00,150.21,1,100.0
2327,A-slc-fill,39850,39,59656,59,59,58,2165,78,1267,5439,2608433963,687996130,0.00,137.63,1,100.0
2328,A-slc-fill,39850,39,59531,59,59,58,2164,78,1344,5439,2608433963,688277226,0.00,143.92,1,100.0
2329,A-slc-fill,39850,39,59750,59,59,58,2164,78,1190,5439,2608433963,688558570,0.00,144.05,1,100.0
2330,A-slc-fill,39850,39,59625,59,59,58,2162,78,1190,5316,2608433963,688864234,0.00,156.50,1,100.0
2331,A-slc-fill,39850,39,59593,59,59,58,2162,78,1344,5439,2608433963,689580522,0.00,366.74,0,96.8
2332,A-slc-fill,39850,39,59750,59,59,58,2167,78,1344,5643,2608433963,690794738,0.00,621.68,1,98.4
2333,A-slc-fill,39850,39,59593,59,59,58,2162,78,1344,5398,2608433963,691507194,0.00,364.78,0,96.4
2334,A-slc-fill,39850,39,59656,59,59,58,2164,78,1267,5439,2608433963,691871994,0.00,186.78,1,100.0
2335,A-slc-fill,39850,39,59625,59,59,58,2165,78,1267,5439,2608433963,692153082,0.00,143.92,1,100.0
2336,A-slc-fill,39850,39,59531,59,59,58,2164,78,1344,5480,2608433963,692446418,0.00,150.19,1,100.0
2337,A-slc-fill,39850,39,59562,59,59,58,2165,78,1344,5480,2608433963,692739802,0.00,150.21,1,100.0
2339,A-slc-fill,39850,39,59625,59,59,58,2165,78,1344,5439,2608433963,693033178,0.00,150.21,1,100.0
2340,A-slc-fill,39850,39,59437,59,59,58,2164,78,960,5439,2608433963,693326554,0.00,150.21,1,100.0
2341,A-slc-fill,39850,39,59593,59,59,58,2165,78,1497,5316,2608433963,693644250,0.00,162.66,1,100.0
2342,A-slc-fill,39850,39,59562,59,59,57,2167,78,1344,5561,2608433963,694445930,0.00,410.46,1,100.0
2343,A-slc-fill,39850,39,59593,59,59,57,2162,78,1420,5643,2608433963,695656570,0.00,619.85,1,96.8
2344,A-slc-fill,39850,39,59531,59,59,58,2164,78,1497,5357,2608433963,696272762,0.00,315.49,1,100.0
2345,A-slc-fill,39850,39,59781,59,59,57,2164,78,1267,5439,2608433963,696615290,0.00,175.37,1,100.0
2346,A-slc-fill,39850,39,59718,59,59,57,2165,78,1267,5439,2608433963,696908402,0.00,150.07,1,100.0
2347,A-slc-fill,39850,39,59468,59,59,58,2162,78,1344,5439,2608433963,697201778,0.00,150.21,1,100.0
2348,A-slc-fill,39850,39,59687,59,59,58,2165,78,1267,5439,2608433963,697482874,0.00,143.92,1,100.0
2349,A-slc-fill,39850,39,59468,59,59,58,2164,78,729,5439,2608433963,697764218,0.00,144.05,1,100.0
2350,A-slc-fill,39850,39,59375,59,59,57,2162,78,1344,5439,2608433963,698045306,0.00,143.92,1,100.0
2351,A-slc-fill,39850,39,59343,59,59,57,2164,78,1344,5275,2608433963,698375114,0.00,168.86,1,99.6
2353,A-slc-fill,39850,39,59625,59,59,58,2164,78,1267,5602,2608433963,699499978,0.00,575.93,1,98.0
2354,A-slc-fill,39850,39,59406,59,59,58,2164,78,1267,5520,2608433963,700575954,0.00,550.90,1,92.0
2355,A-slc-fill,39850,39,59656,59,59,58,2164,78,1420,5398,2608433963,701114066,0.00,275.51,1,100.0
2356,A-slc-fill,39850,39,59812,59,60,58,2164,78,1344,5725,2608433963,701407442,0.00,150.21,1,100.0
2357,A-slc-fill,39850,39,60250,60,60,58,2164,78,1344,6093,2608433963,701700554,0.00,150.07,1,100.0
2358,A-slc-fill,39850,39,60187,60,60,58,2165,78,1344,6093,2608433963,701993938,0.00,150.21,1,100.0
2359,A-slc-fill,39850,39,60062,60,60,57,2167,78,1344,6093,2608433963,702287330,0.00,150.22,1,100.0
2360,A-slc-fill,39850,39,60031,60,60,58,2166,78,1420,6093,2608433963,702580706,0.00,150.21,1,100.0
2361,A-slc-fill,39850,39,60531,60,60,58,2162,78,1344,6420,2608433963,702854706,0.00,140.29,1,100.0
2362,A-slc-fill,39850,39,60156,60,60,58,2160,78,1344,6134,2608433963,703403314,0.00,280.89,1,100.0
2363,A-slc-fill,39850,39,60218,60,60,58,2162,78,1420,6257,2608433963,704567610,0.00,596.12,1,95.6
2364,A-slc-fill,39850,39,60281,60,60,57,2162,78,1420,6093,2608433963,705417530,0.00,435.16,0,97.2
2365,A-slc-fill,39850,39,60125,60,60,58,2164,78,1344,6093,2608433963,705869370,0.00,231.34,1,100.0
2366,A-slc-fill,39850,39,60281,60,60,58,2164,78,1420,6093,2608433963,706162722,0.00,150.20,1,100.0
2368,A-slc-fill,39850,39,60375,60,60,58,2162,78,1420,6093,2608433963,706456098,0.00,150.21,1,100.0
2369,A-slc-fill,39850,39,60343,60,60,58,2164,78,1420,6093,2608433963,706749482,0.00,150.21,1,100.0
2370,A-slc-fill,39850,39,60125,60,60,58,2164,78,1344,6093,2608433963,707042858,0.00,150.21,1,100.0
2371,A-slc-fill,39850,39,60343,60,60,58,2160,78,1497,6093,2608433963,707336234,0.00,150.21,1,100.0
2372,A-slc-fill,39850,39,60187,60,60,58,2165,78,1267,5970,2608433963,707641058,0.00,156.07,1,100.0
2373,A-slc-fill,39850,39,60062,60,60,58,2168,78,1497,6134,2608433963,708457698,0.00,418.12,0,92.8
2374,A-slc-fill,39850,39,60281,60,60,58,2165,78,1344,6257,2608433963,709638122,0.00,604.38,1,96.8
2375,A-slc-fill,39850,39,60218,60,60,58,2162,78,1344,6052,2608433963,710307306,0.00,342.62,1,95.6
2376,A-slc-fill,39850,39,60125,60,60,58,2164,78,1420,6093,2608433963,710661866,0.00,181.53,1,100.0
2377,A-slc-fill,39850,39,60218,60,60,58,2164,78,1267,6134,2608433963,710942674,0.00,143.77,1,100.0
2378,A-slc-fill,39850,39,60375,60,60,58,2165,78,1344,6093,2608433963,711236058,0.00,150.21,1,100.0
2379,A-slc-fill,39850,39,60375,60,60,58,2164,78,1420,6093,2608433963,711517402,0.00,144.05,1,100.0
2380,A-slc-fill,39850,39,60437,60,60,58,2162,78,1497,6093,2608433963,711810778,0.00,150.21,1,100.0
2381,A-slc-fill,39850,39,60250,60,60,58,2163,78,1267,6093,2608433963,712091762,0.00,143.86,1,98.8
2383,A-slc-fill,39850,39,60156,60,60,58,2163,78,1344,5929,2608433963,712397426,0.00,156.50,1,98.8
2384,A-slc-fill,39850,39,60343,60,60,58,2164,78,1420,6134,2608433963,713327226,0.00,476.06,1,91.6
2385,A-slc-fill,39850,39,60531,60,60,58,2160,78,1420,6257,2608433963,714314106,0.00,505.28,1,98.4
2386,A-slc-fill,39850,39,60406,60,60,58,2162,78,1420,6052,2608433963,714991226,0.00,346.69,0,99.2
2387,A-slc-fill,39850,39,60250,60,60,58,2160,78,1267,6093,2608433963,715343970,0.00,180.60,1,98.8
2388,A-slc-fill,39850,39,60187,60,60,58,2162,78,1267,6093,2608433963,715649634,0.00,156.50,1,100.0
2389,A-slc-fill,39850,39,60218,60,60,58,2162,78,1267,6093,2608433963,715943026,0.00,150.22,1,99.6
2390,A-slc-fill,39850,39,60281,60,60,58,2162,78,1344,6093,2608433963,716224114,0.00,143.92,1,100.0
2391,A-slc-fill,39850,39,60250,60,60,58,2162,78,1267,6134,2608433963,716505458,0.00,144.05,1,100.0
2392,A-slc-fill,39850,39,60125,60,60,58,2162,78,1344,6134,2608433963,716786266,0.00,143.77,1,99.6
2393,A-slc-fill,39850,39,60437,60,60,58,2164,78,1344,5970,2608433963,717104218,0.00,162.79,1,100.0
2394,A-slc-fill,39850,39,60156,60,60,58,2165,78,1420,6175,2608433963,718081890,0.00,500.57,1,94.0
2395,A-slc-fill,39850,39,60125,60,60,58,2162,78,1344,6216,2608433963,719268194,0.00,607.39,1,98.0
2396,A-slc-fill,39850,39,60281,60,60,58,2164,78,1267,6052,2608433963,719842642,0.00,294.12,1,99.2
2397,A-slc-fill,39850,39,60343,60,60,58,2165,78,1344,6093,2608433963,720136018,0.00,150.21,1,100.0
2399,A-slc-fill,39850,39,60187,60,60,58,2167,78,1420,6093,2608433963,720429394,0.00,150.21,1,100.0
2400,A-slc-fill,39850,39,60187,60,60,58,2165,78,1267,6093,2608433963,720722778,0.00,150.21,1,100.0
2401,A-slc-fill,39850,39,60250,60,60,58,2165,78,1497,6093,2608433963,721016154,0.00,150.21,1,100.0
2402,A-slc-fill,39850,39,60187,60,60,58,2162,78,1420,6093,2608433963,721297426,0.00,144.01,1,100.0
2403,A-slc-fill,39850,39,60125,60,60,58,2162,78,1344,6093,2608433963,721578514,0.00,143.92,1,100.0
2404,A-slc-fill,39850,39,60218,60,60,58,2162,78,1344,6011,2608433963,722030362,0.00,231.35,1,100.0
2405,A-slc-fill,39850,39,60375,60,60,58,2162,78,1497,6257,2608433963,723198746,0.00,598.21,1,97.2
2406,A-slc-fill,39850,39,60281,60,60,58,2164,78,1344,6093,2608433963,724146202,0.00,485.10,1,97.6
2407,A-slc-fill,39850,39,60125,60,60,58,2162,78,806,6052,2608433963,724635138,0.00,250.34,1,100.0
2408,A-slc-fill,39850,39,60156,60,60,58,2165,78,1497,6093,2608433963,724916226,0.00,143.92,1,100.0
2409,A-slc-fill,39850,39,60281,60,60,58,2165,78,1344,6093,2608433963,725209610,0.00,150.21,1,100.0
2410,A-slc-fill,39850,39,60156,60,60,58,2162,78,1344,6093,2608433963,725490954,0.00,144.05,1,100.0
2411,A-slc-fill,39850,39,60281,60,60,58,2165,78,1344,6093,2608433963,725771970,0.00,143.88,1,100.0
2412,A-slc-fill,39850,39,59718,59,59,58,2162,78,1344,5480,2608433963,726053138,0.00,143.96,1,100.0
2414,A-slc-fill,39850,39,59687,59,59,58,2164,78,1344,5357,2608433963,726347282,0.00,150.60,1,100.0
2415,A-slc-fill,39850,39,59625,59,59,58,2162,78,1420,5398,2608433963,726924826,0.00,295.70,1,100.0
2416,A-slc-fill,39850,39,59906,59,59,58,2162,78,1267,5602,2608433963,728145178,0.00,624.82,1,97.2
2417,A-slc-fill,39850,39,59437,59,59,58,2164,78,1267,5439,2608433963,728950522,0.00,412.34,1,97.2
2418,A-slc-fill,39850,39,59593,59,59,58,2164,78,1344,5439,2608433963,729378554,0.00,219.15,1,99.2
2419,A-slc-fill,39850,39,59625,59,59,58,2164,78,1497,5439,2608433963,729671930,0.00,150.21,1,100.0
2420,A-slc-fill,39850,39,59500,59,59,57,2164,78,1497,5439,2608433963,729953026,0.00,143.92,1,98.8
2421,A-slc-fill,39850,39,59593,59,59,58,2164,78,1267,5439,2608433963,730234370,0.00,144.05,1,100.0
2422,A-slc-fill,39850,39,59593,59,59,58,2165,78,1344,5439,2608433963,730527674,0.00,150.17,1,100.0
2423,A-slc-fill,39850,39,59625,59,59,57,2165,78,1420,5439,2608433963,730821050,0.00,150.21,1,100.0
2424,A-slc-fill,39850,39,59687,59,59,58,2165,78,1344,5275,2608433963,731126722,0.00,156.50,1,100.0
2425,A-slc-fill,39850,39,59500,59,59,57,2165,78,1497,5439,2608433963,731751874,0.00,320.08,0,97.6
2426,A-slc-fill,39850,39,59656,59,59,58,2165,78,1497,5520,2608433963,732936882,0.00,606.72,1,93.2
2428,A-slc-fill,39850,39,59562,59,59,58,2163,78,1420,5398,2608433963,733694130,0.00,387.71,1,98.4
2429,A-slc-fill,39850,39,59468,59,59,57,2164,78,1420,5398,2608433963,734097586,0.00,206.57,1,100.0
2430,A-slc-fill,39850,39,59406,59,59,58,2164,78,960,5439,2608433963,734391226,0.00,150.34,1,100.0
2431,A-slc-fill,39850,39,59531,59,59,57,2164,78,1344,5439,2608433963,734684602,0.00,150.21,1,100.0
2432,A-slc-fill,39850,39,59437,59,59,58,2162,78,1344,5398,2608433963,734965354,0.00,143.75,1,100.0
2433,A-slc-fill,39850,39,59375,59,59,58,2160,78,1036,5439,2608433963,735258730,0.00,150.21,1,100.0
2434,A-slc-fill,39850,39,59343,59,59,58,2160,78,1344,5439,2608433963,735540074,0.00,144.05,1,100.0
2435,A-slc-fill,39850,39,59406,59,59,58,2162,78,1344,5316,2608433963,735833466,0.00,150.22,1,100.0
2436,A-slc-fill,39850,39,59593,59,59,57,2164,78,1267,5520,2608433963,736652666,0.00,419.43,1,96.8
2437,A-slc-fill,39850,39,59500,59,59,58,2164,78,1344,5602,2608433963,737858914,0.00,617.60,1,92.0
2438,A-slc-fill,39850,39,59312,59,59,58,2163,78,1420,5316,2608433963,738462050,0.00,308.81,1,100.0
2439,A-slc-fill,39850,39,59562,59,59,57,2162,78,1267,5439,2608433963,738816610,0.00,181.53,1,100.0
