t_s,phase,nvme_mc,nvme_c,tj_mc,tj_c,cpu_c,gpu_c,fan_rpm,fan_pwm,cpu_mhz,vdd_in_mw,sect_read,sect_written,read_mbs,write_mbs,inflight,util_pct
50,04-idle-baseline,39850,39,57593,57,57,56,2061,75,1344,4989,3161467,78333818,0.00,0.06,0,0.0
51,04-idle-baseline,39850,39,57468,57,57,56,2058,75,1344,5030,3161467,78333818,0.00,0.00,0,0.0
52,04-idle-baseline,39850,39,57656,57,57,56,2057,75,1344,5030,3161467,78333818,0.00,0.00,0,0.0
53,04-idle-baseline,39850,39,57406,57,57,56,2058,75,1344,5030,3161467,78333826,0.00,0.00,0,0.0
54,04-idle-baseline,39850,39,57718,57,57,56,2060,75,1190,5030,3161467,78333826,0.00,0.00,0,0.0
55,04-idle-baseline,39850,39,57500,57,57,56,2058,75,1344,4989,3161467,78333938,0.00,0.06,0,0.0
56,04-idle-baseline,39850,39,57437,57,57,56,2058,75,1267,4989,3161467,78333946,0.00,0.00,0,0.4
57,04-idle-baseline,39850,39,57500,57,57,56,2058,75,1344,5030,3161467,78333946,0.00,0.00,0,0.0
58,04-idle-baseline,39850,39,57343,57,57,56,2057,75,729,5030,3161467,78333954,0.00,0.00,0,0.0
59,04-idle-baseline,39850,39,57468,57,57,56,2060,75,1190,5030,3161467,78333954,0.00,0.00,0,0.0
60,04-idle-baseline,39850,39,57468,57,57,56,2060,75,1344,5030,3161467,78334090,0.00,0.07,0,0.0
62,04-idle-baseline,39850,39,57562,57,57,56,2061,75,1267,4989,3161467,78334098,0.00,0.00,0,0.0
63,04-idle-baseline,39850,39,57406,57,57,56,2058,75,1497,4989,3161467,78334098,0.00,0.00,0,0.0
64,04-idle-baseline,39850,39,57625,57,57,56,2058,75,729,5030,3161467,78334114,0.00,0.01,0,0.0
65,04-idle-baseline,39850,39,57375,57,57,56,2058,75,1497,5030,3161467,78334114,0.00,0.00,0,0.0
66,04-idle-baseline,39850,39,57343,57,57,56,2056,75,1344,4989,3161467,78334258,0.00,0.07,0,0.0
67,04-idle-baseline,39850,39,57437,57,57,56,2060,75,1497,5030,3161467,78334258,0.00,0.00,0,0.0
68,04-idle-baseline,39850,39,57312,57,57,56,2061,75,1344,5030,3161467,78334258,0.00,0.00,0,0.0
69,04-idle-baseline,39850,39,57500,57,57,56,2060,75,729,5030,3161467,78334266,0.00,0.00,0,0.0
70,04-idle-baseline,39850,39,57343,57,57,56,2061,75,1267,5030,3161467,78334266,0.00,0.00,0,0.0
71,04-idle-baseline,39850,39,57406,57,57,56,2061,75,1344,5030,3161467,78334378,0.00,0.06,0,0.0
