08-10-2026 21:36:36 RAM 2642/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.625C/60.625C cpu@65.343C/65.343C soc2@57C/57C soc0@58.406C/58.406C cv1@59.593C/59.593C gpu@62.75C/62.75C tj@65.343C/65.343C soc1@57.187C/57.187C cv2@55C/55.031C VDD_IN 17163mW/14721mW/17163mW VDD_CPU_GPU_CV 11612mW/9232mW/11612mW VDD_SOC 2393mW/2385mW/2393mW
08-10-2026 21:36:36 RAM 2642/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.656C/60.656C cpu@65.281C/65.343C soc2@57.125C/57.125C soc0@58.656C/58.656C cv1@59.781C/59.781C gpu@62.812C/62.812C tj@65.281C/65.343C soc1@57.468C/57.468C cv2@55.093C/55.093C VDD_IN 17204mW/14928mW/17204mW VDD_CPU_GPU_CV 11612mW/9430mW/11612mW VDD_SOC 2393mW/2386mW/2393mW
08-10-2026 21:36:37 RAM 2639/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.812C/60.812C cpu@65.562C/65.562C soc2@57.312C/57.312C soc0@58.687C/58.687C cv1@60C/60C gpu@62.875C/62.875C tj@65.562C/65.562C soc1@57.468C/57.468C cv2@55.187C/55.187C VDD_IN 17163mW/15100mW/17204mW VDD_CPU_GPU_CV 11612mW/9598mW/11612mW VDD_SOC 2393mW/2386mW/2393mW
08-10-2026 21:36:37 RAM 2639/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.875C/60.875C cpu@65.781C/65.781C soc2@57.312C/57.312C soc0@58.781C/58.781C cv1@60.156C/60.156C gpu@62.968C/62.968C tj@65.781C/65.781C soc1@57.593C/57.593C cv2@55.312C/55.312C VDD_IN 17204mW/15250mW/17204mW VDD_CPU_GPU_CV 11612mW/9742mW/11612mW VDD_SOC 2393mW/2387mW/2393mW
08-10-2026 21:36:38 RAM 2637/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.156C/61.156C cpu@65.687C/65.781C soc2@57.468C/57.468C soc0@58.812C/58.812C cv1@60.125C/60.156C gpu@63C/63C tj@65.687C/65.781C soc1@57.75C/57.75C cv2@55.562C/55.562C VDD_IN 17204mW/15381mW/17204mW VDD_CPU_GPU_CV 11652mW/9869mW/11652mW VDD_SOC 2393mW/2387mW/2393mW
08-10-2026 21:36:38 RAM 2637/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.093C/61.156C cpu@65.875C/65.875C soc2@57.593C/57.593C soc0@58.906C/58.906C cv1@60.281C/60.281C gpu@63.218C/63.218C tj@65.875C/65.875C soc1@57.781C/57.781C cv2@55.656C/55.656C VDD_IN 17204mW/15495mW/17204mW VDD_CPU_GPU_CV 11652mW/9980mW/11652mW VDD_SOC 2393mW/2388mW/2393mW
08-10-2026 21:36:39 RAM 2636/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.281C/61.281C cpu@65.781C/65.875C soc2@57.656C/57.656C soc0@59C/59C cv1@60.343C/60.343C gpu@63.437C/63.437C tj@65.781C/65.875C soc1@57.781C/57.781C cv2@55.625C/55.656C VDD_IN 17204mW/15595mW/17204mW VDD_CPU_GPU_CV 11652mW/10079mW/11652mW VDD_SOC 2393mW/2388mW/2393mW
08-10-2026 21:36:39 RAM 2636/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.25C/61.281C cpu@65.906C/65.906C soc2@57.687C/57.687C soc0@59.156C/59.156C cv1@60.343C/60.343C gpu@63.406C/63.437C tj@65.906C/65.906C soc1@58.125C/58.125C cv2@55.656C/55.656C VDD_IN 17204mW/15685mW/17204mW VDD_CPU_GPU_CV 11652mW/10166mW/11652mW VDD_SOC 2393mW/2388mW/2393mW
08-10-2026 21:36:40 RAM 2634/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.437C/61.437C cpu@65.937C/65.937C soc2@57.843C/57.843C soc0@59.343C/59.343C cv1@60.531C/60.531C gpu@63.406C/63.437C tj@65.937C/65.937C soc1@58.125C/58.125C cv2@55.812C/55.812C VDD_IN 17204mW/15765mW/17204mW VDD_CPU_GPU_CV 11652mW/10244mW/11652mW VDD_SOC 2393mW/2388mW/2393mW
08-10-2026 21:36:40 RAM 2634/15599MB (lfb 49x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.468C/61.468C cpu@66.281C/66.281C soc2@58C/58C soc0@59.5C/59.5C cv1@60.687C/60.687C gpu@63.656C/63.656C tj@66.281C/66.281C soc1@58.187C/58.187C cv2@55.875C/55.875C VDD_IN 17244mW/15839mW/17244mW VDD_CPU_GPU_CV 11652mW/10315mW/11652mW VDD_SOC 2393mW/2389mW/2393mW
