08-10-2026 21:55:14 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.062C/68.062C cpu@72.656C/72.656C soc2@64.843C/64.843C soc0@66.343C/66.343C cv1@67.093C/67.093C gpu@71.687C/71.687C tj@72.656C/72.656C soc1@64.562C/64.562C cv2@62.593C/62.593C VDD_IN 25320mW/18008mW/25320mW VDD_CPU_GPU_CV 16760mW/11147mW/16760mW VDD_SOC 3628mW/2948mW/3628mW
08-10-2026 21:55:15 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.343C/68.343C cpu@72.687C/72.687C soc2@64.968C/64.968C soc0@66.343C/66.343C cv1@67.25C/67.25C gpu@71.625C/71.687C tj@72.687C/72.687C soc1@64.562C/64.562C cv2@62.812C/62.812C VDD_IN 25280mW/18567mW/25320mW VDD_CPU_GPU_CV 16720mW/11576mW/16760mW VDD_SOC 3669mW/3003mW/3669mW
08-10-2026 21:55:15 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.375C/68.375C cpu@72.656C/72.687C soc2@65.125C/65.125C soc0@66.437C/66.437C cv1@67.343C/67.343C gpu@71.718C/71.718C tj@72.656C/72.687C soc1@64.625C/64.625C cv2@62.843C/62.843C VDD_IN 25280mW/19046mW/25320mW VDD_CPU_GPU_CV 16640mW/11937mW/16760mW VDD_SOC 3628mW/3048mW/3669mW
08-10-2026 21:55:16 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.406C/68.406C cpu@72.75C/72.75C soc2@65.125C/65.125C soc0@66.5C/66.5C cv1@67.406C/67.406C gpu@71.937C/71.937C tj@72.75C/72.75C soc1@64.843C/64.843C cv2@63C/63C VDD_IN 25280mW/19462mW/25320mW VDD_CPU_GPU_CV 16640mW/12251mW/16760mW VDD_SOC 3628mW/3086mW/3669mW
08-10-2026 21:55:16 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.343C/68.406C cpu@72.906C/72.906C soc2@65.218C/65.218C soc0@66.843C/66.843C cv1@67.437C/67.437C gpu@71.968C/71.968C tj@72.906C/72.906C soc1@65C/65C cv2@63.062C/63.062C VDD_IN 25441mW/19836mW/25441mW VDD_CPU_GPU_CV 16800mW/12535mW/16800mW VDD_SOC 3628mW/3120mW/3669mW
08-10-2026 21:55:17 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.562C/68.562C cpu@72.906C/72.906C soc2@65.312C/65.312C soc0@66.75C/66.843C cv1@67.531C/67.531C gpu@71.937C/71.968C tj@72.906C/72.906C soc1@65C/65C cv2@63.156C/63.156C VDD_IN 25320mW/20158mW/25441mW VDD_CPU_GPU_CV 16680mW/12779mW/16800mW VDD_SOC 3669mW/3153mW/3669mW
08-10-2026 21:55:17 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.656C/68.656C cpu@73.156C/73.156C soc2@65.437C/65.437C soc0@66.875C/66.875C cv1@67.718C/67.718C gpu@72.125C/72.125C tj@73.156C/73.156C soc1@65.062C/65.062C cv2@63.218C/63.218C VDD_IN 25240mW/20441mW/25441mW VDD_CPU_GPU_CV 16640mW/12994mW/16800mW VDD_SOC 3628mW/3179mW/3669mW
08-10-2026 21:55:18 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.656C/68.656C cpu@73.406C/73.406C soc2@65.437C/65.437C soc0@67.031C/67.031C cv1@67.75C/67.75C gpu@72.187C/72.187C tj@73.406C/73.406C soc1@65.125C/65.125C cv2@63.281C/63.281C VDD_IN 25240mW/20693mW/25441mW VDD_CPU_GPU_CV 16720mW/13190mW/16800mW VDD_SOC 3628mW/3203mW/3669mW
08-10-2026 21:55:18 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.75C/68.75C cpu@73.281C/73.406C soc2@65.593C/65.593C soc0@67.062C/67.062C cv1@67.843C/67.843C gpu@72.468C/72.468C tj@73.187C/73.406C soc1@65.187C/65.187C cv2@63.312C/63.312C VDD_IN 25401mW/20929mW/25441mW VDD_CPU_GPU_CV 16800mW/13370mW/16800mW VDD_SOC 3669mW/3226mW/3669mW
08-10-2026 21:55:19 RAM 5147/15599MB (lfb 12x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@68.906C/68.906C cpu@73.312C/73.406C soc2@65.656C/65.656C soc0@67.062C/67.062C cv1@67.781C/67.843C gpu@72.5C/72.5C tj@73.312C/73.406C soc1@65.218C/65.218C cv2@63.562C/63.562C VDD_IN 25482mW/21145mW/25482mW VDD_CPU_GPU_CV 16840mW/13535mW/16840mW VDD_SOC 3628mW/3245mW/3669mW
