08-10-2026 23:01:27 RAM 12065/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,96%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.531C/60.718C cpu@65.343C/65.781C soc2@57.25C/57.25C soc0@58.687C/58.687C cv1@59.906C/59.906C gpu@64.75C/64.75C tj@65.343C/65.781C soc1@57.531C/57.531C cv2@55.281C/55.281C VDD_IN 23581mW/13589mW/23581mW VDD_CPU_GPU_CV 13862mW/6738mW/13862mW VDD_SOC 3957mW/2917mW/3957mW
08-10-2026 23:01:28 RAM 12095/15599MB (lfb 4x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@60.937C/60.937C cpu@65.625C/65.781C soc2@57.625C/57.625C soc0@59.031C/59.031C cv1@60.125C/60.125C gpu@65.687C/65.687C tj@65.687C/65.781C soc1@57.687C/57.687C cv2@55.562C/55.562C VDD_IN 29151mW/14886mW/29151mW VDD_CPU_GPU_CV 18181mW/7691mW/18181mW VDD_SOC 4300mW/3033mW/4300mW
08-10-2026 23:01:28 RAM 12135/15599MB (lfb 3x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.218C/61.218C cpu@65.937C/65.937C soc2@58.031C/58.031C soc0@59.343C/59.343C cv1@60.281C/60.281C gpu@66.5C/66.5C tj@66.5C/66.5C soc1@57.843C/57.843C cv2@55.718C/55.718C VDD_IN 30844mW/16113mW/30844mW VDD_CPU_GPU_CV 19395mW/8592mW/19395mW VDD_SOC 4380mW/3136mW/4380mW
08-10-2026 23:01:29 RAM 12203/15599MB (lfb 5x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.5C/61.5C cpu@66.125C/66.125C soc2@58.312C/58.312C soc0@59.562C/59.562C cv1@60.562C/60.562C gpu@66.812C/66.812C tj@66.812C/66.812C soc1@58.125C/58.125C cv2@56C/56C VDD_IN 31117mW/17185mW/31117mW VDD_CPU_GPU_CV 19673mW/9383mW/19673mW VDD_SOC 4414mW/3228mW/4414mW
08-10-2026 23:01:30 RAM 12212/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@61.906C/61.906C cpu@66.562C/66.562C soc2@58.656C/58.656C soc0@59.906C/59.906C cv1@60.875C/60.875C gpu@66.656C/66.812C tj@66.656C/66.812C soc1@58.406C/58.406C cv2@56.312C/56.312C VDD_IN 30876mW/18098mW/31117mW VDD_CPU_GPU_CV 19147mW/10034mW/19673mW VDD_SOC 4823mW/3334mW/4823mW
08-10-2026 23:01:30 RAM 12211/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.281C/62.281C cpu@66.968C/66.968C soc2@58.906C/58.906C soc0@60.156C/60.156C cv1@61.218C/61.218C gpu@66.843C/66.843C tj@66.968C/66.968C soc1@58.5C/58.5C cv2@56.437C/56.437C VDD_IN 30675mW/18884mW/31117mW VDD_CPU_GPU_CV 18709mW/10576mW/19673mW VDD_SOC 4983mW/3437mW/4983mW
08-10-2026 23:01:31 RAM 12211/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.437C/62.437C cpu@67C/67C soc2@59.156C/59.156C soc0@60.312C/60.312C cv1@61.343C/61.343C gpu@66.968C/66.968C tj@67C/67C soc1@58.687C/58.687C cv2@56.687C/56.687C VDD_IN 30715mW/19580mW/31117mW VDD_CPU_GPU_CV 18709mW/11055mW/19673mW VDD_SOC 5064mW/3533mW/5064mW
08-10-2026 23:01:31 RAM 12211/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.593C/62.593C cpu@67.25C/67.25C soc2@59.343C/59.343C soc0@60.531C/60.531C cv1@61.5C/61.5C gpu@67.062C/67.062C tj@67.25C/67.25C soc1@58.968C/58.968C cv2@56.812C/56.812C VDD_IN 30675mW/20196mW/31117mW VDD_CPU_GPU_CV 18630mW/11476mW/19673mW VDD_SOC 5064mW/3618mW/5064mW
08-10-2026 23:01:32 RAM 12211/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.75C/62.75C cpu@67.437C/67.437C soc2@59.468C/59.468C soc0@60.843C/60.843C cv1@61.843C/61.843C gpu@67.343C/67.343C tj@67.437C/67.437C soc1@59.187C/59.187C cv2@57.031C/57.031C VDD_IN 30836mW/20756mW/31117mW VDD_CPU_GPU_CV 18709mW/11856mW/19673mW VDD_SOC 5064mW/3694mW/5064mW
08-10-2026 23:01:32 RAM 12213/15599MB (lfb 1x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@62.937C/62.937C cpu@67.812C/67.812C soc2@59.812C/59.812C soc0@61.031C/61.031C cv1@62.031C/62.031C gpu@67.343C/67.343C tj@67.812C/67.812C soc1@59.218C/59.218C cv2@57.093C/57.093C VDD_IN 30755mW/21256mW/31117mW VDD_CPU_GPU_CV 18630mW/12195mW/19673mW VDD_SOC 5104mW/3764mW/5104mW
08-10-2026 23:01:33 RAM 12213/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.062C/63.062C cpu@68C/68C soc2@59.937C/59.937C soc0@61.125C/61.125C cv1@62.218C/62.218C gpu@67.687C/67.687C tj@68C/68C soc1@59.406C/59.406C cv2@57.406C/57.406C VDD_IN 30916mW/21716mW/31117mW VDD_CPU_GPU_CV 18829mW/12511mW/19673mW VDD_SOC 5104mW/3828mW/5104mW
08-10-2026 23:01:33 RAM 12218/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.281C/63.281C cpu@68C/68C soc2@60.187C/60.187C soc0@61.343C/61.343C cv1@62.281C/62.281C gpu@67.75C/67.75C tj@68C/68C soc1@59.593C/59.593C cv2@57.656C/57.656C VDD_IN 30795mW/22129mW/31117mW VDD_CPU_GPU_CV 18669mW/12791mW/19673mW VDD_SOC 5104mW/3886mW/5104mW
08-10-2026 23:01:34 RAM 12218/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.5C/63.5C cpu@68.218C/68.218C soc2@60.25C/60.25C soc0@61.437C/61.437C cv1@62.5C/62.5C gpu@67.875C/67.875C tj@68.218C/68.218C soc1@59.718C/59.718C cv2@57.781C/57.781C VDD_IN 30997mW/22514mW/31117mW VDD_CPU_GPU_CV 18868mW/13055mW/19673mW VDD_SOC 5104mW/3939mW/5104mW
08-10-2026 23:01:34 RAM 12218/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.625C/63.625C cpu@68.375C/68.375C soc2@60.375C/60.375C soc0@61.656C/61.656C cv1@62.625C/62.625C gpu@68.187C/68.187C tj@68.375C/68.375C soc1@59.843C/59.843C cv2@57.968C/57.968C VDD_IN 30916mW/22864mW/31117mW VDD_CPU_GPU_CV 18749mW/13292mW/19673mW VDD_SOC 5104mW/3988mW/5104mW
08-10-2026 23:01:35 RAM 12218/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.812C/63.812C cpu@68.468C/68.468C soc2@60.625C/60.625C soc0@61.906C/61.906C cv1@62.875C/62.875C gpu@68.312C/68.312C tj@68.468C/68.468C soc1@60.125C/60.125C cv2@58.218C/58.218C VDD_IN 30997mW/23190mW/31117mW VDD_CPU_GPU_CV 18829mW/13514mW/19673mW VDD_SOC 5104mW/4032mW/5104mW
08-10-2026 23:01:35 RAM 12218/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@63.968C/63.968C cpu@68.812C/68.812C soc2@60.718C/60.718C soc0@62C/62C cv1@62.937C/62.937C gpu@68.562C/68.562C tj@68.812C/68.812C soc1@60.25C/60.25C cv2@58.281C/58.281C VDD_IN 30876mW/23485mW/31117mW VDD_CPU_GPU_CV 18749mW/13715mW/19673mW VDD_SOC 5104mW/4074mW/5104mW
08-10-2026 23:01:36 RAM 12219/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.156C/64.156C cpu@68.875C/68.875C soc2@60.968C/60.968C soc0@62.343C/62.343C cv1@63.156C/63.156C gpu@68.812C/68.812C tj@68.875C/68.875C soc1@60.5C/60.5C cv2@58.437C/58.437C VDD_IN 30916mW/23761mW/31117mW VDD_CPU_GPU_CV 18868mW/13906mW/19673mW VDD_SOC 5104mW/4112mW/5104mW
08-10-2026 23:01:36 RAM 12219/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.406C/64.406C cpu@69.062C/69.062C soc2@61.156C/61.156C soc0@62.25C/62.343C cv1@63.25C/63.25C gpu@68.75C/68.812C tj@69.062C/69.062C soc1@60.687C/60.687C cv2@58.593C/58.593C VDD_IN 31037mW/24020mW/31117mW VDD_CPU_GPU_CV 18908mW/14085mW/19673mW VDD_SOC 5136mW/4148mW/5136mW
08-10-2026 23:01:37 RAM 12219/15599MB (lfb 2x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.375C/64.406C cpu@69.25C/69.25C soc2@61.343C/61.343C soc0@62.718C/62.718C cv1@63.531C/63.531C gpu@69.312C/69.312C tj@69.312C/69.312C soc1@60.781C/60.781C cv2@58.687C/58.687C VDD_IN 31037mW/24262mW/31117mW VDD_CPU_GPU_CV 18948mW/14252mW/19673mW VDD_SOC 5104mW/4181mW/5136mW
08-10-2026 23:01:37 RAM 11450/15599MB (lfb 9x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.281C/64.406C cpu@69.031C/69.25C soc2@61.406C/61.406C soc0@62.875C/62.875C cv1@63.531C/63.531C gpu@69.968C/69.968C tj@69.968C/69.968C soc1@60.843C/60.843C cv2@58.812C/58.812C VDD_IN 31399mW/24500mW/31399mW VDD_CPU_GPU_CV 19792mW/14437mW/19792mW VDD_SOC 4694mW/4198mW/5136mW
08-10-2026 23:01:38 RAM 10490/15599MB (lfb 20x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.437C/64.437C cpu@69.25C/69.25C soc2@61.593C/61.593C soc0@63.031C/63.031C cv1@63.625C/63.625C gpu@69.906C/69.968C tj@69.906C/69.968C soc1@61C/61C cv2@59.031C/59.031C VDD_IN 31560mW/24728mW/31560mW VDD_CPU_GPU_CV 20070mW/14619mW/20070mW VDD_SOC 4614mW/4212mW/5136mW
08-10-2026 23:01:38 RAM 8730/15599MB (lfb 35x4MB) CPU [100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984,100%@1984] GR3D_FREQ 99% cv0@64.531C/64.531C cpu@69.406C/69.406C soc2@61.687C/61.687C soc0@63.218C/63.218C cv1@63.781C/63.781C gpu@70.218C/70.218C tj@70.218C/70.218C soc1@61.062C/61.062C cv2@59.343C/59.343C VDD_IN 31480mW/24939mW/31560mW VDD_CPU_GPU_CV 20070mW/14789mW/20070mW VDD_SOC 4614mW/4224mW/5136mW
